#,QId,,Vraag1,,Vraag2,,Vraag3,,Vraag4,,Vraag5,,Vraag6,,Vraag7,,Vraag8,,Vraag9,,Vraag10,,Vraag11,,Vraag12,,Vraag13,,Vraag14,,Vraag15,,Vraag16,,Vraag17,,Vraag18,,Vraag19,,Vraag20,,Vraag21,,Vraag22,,Vraag23,,Vraag24,,Vraag25,,Vraag26,,Vraag27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,AJ,,A,,B,,C,,C,,A,,B,,A,,B,,B,,C,,B,,B,,A,,C,,B,,C,,B,,A,,B,,A,,C,,A,,B,,B,,A,3,,2,
29,21/07/2017 14:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,AK,,A,,B,,B,,C,,A,,B,,A,,B,,A,,C,,B,,B,,A,,C,,B,,C,,B,,A,,B,,C,,C,,A,,B,,B,,A,1,,2,
30,21/07/2017 14:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,AL,,B,,A,,A,,B,,B,,C,,C,,B,,A,,C,,A,,B,,A,,C,,B,,A,,C,,A,,C,,A,,C,,A,,B,,B,,B,4,,4,
31,21/07/2017 14:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,AM,,A,,B,,B,,B,,A,,B,,A,,B,,A,,C,,B,,B,,A,,C,,B,,A,,A,,A,,B,,A,,C,,A,,B,,B,,A,4,,4,
32,21/07/2017 14:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,AN,,A,,B,,B,,C,,A,,C,,B,,B,,C,,C,,B,,B,,A,,C,,B,,A,,B,,A,,B,,A,,B,,A,,B,,B,,A,4,,4,
32,21/07/2017 14:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,AO,,B,,B,,B,,B,,A,,B,,A,,A,,A,,C,,B,,B,,A,,C,,B,,C,,B,,C,,B,,A,,C,,A,,B,,B,,A,4,,5,
33,21/07/2017 14:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,AP,,A,,B,,A,,C,,B,,B,,C,,B,,A,,C,,A,,B,,A,,C,,B,,A,,A,,A,,B,,A,,B,,A,,B,,B,,A,3,,4,
34,21/07/2017 15:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,AQ,,A,,B,,A,,B,,A,,B,,C,,B,,A,,C,,B,,B,,A,,C,,B,,A,,A,,A,,B,,A,,C,,A,,B,,B,,A,4,,4,
35,21/07/2017 15:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,AR,,A,,B,,C,,C,,A,,B,,A,,B,,A,,C,,B,,B,,A,,C,,B,,B,,A,,A,,B,,A,,C,,A,,B,,B,,A,3,,3,
36,21/07/2017 14:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,AS,,A,,B,,A,,C,,A,,B,,A,,B,,A,,C,,B,,B,,A,,C,,B,,A,,C,,A,,B,,A,,C,,A,,B,,B,,A,4,,4,
36,21/07/2017 14:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,AT,,A,,B,,A,,C,,A,,B,,A,,A,,C,,C,,B,,B,,A,,C,,B,,C,,A,,A,,B,,A,,B,,A,,B,,B,,A,4,,4,
37,21/07/2017 15:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,AU,,A,,B,,A,,C,,A,,B,,A,,B,,A,,C,,B,,A,,A,,C,,A,,A,,A,,A,,B,,A,,C,,A,,B,,B,,A,4,,5,
38,21/07/2017 15:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,AV,,A,,B,,C,,B,,A,,B,,A,,C,,B,,C,,B,,B,,A,,B,,B,,B,,B,,A,,B,,A,,C,,A,,B,,B,,A,3,,4,
39,21/07/2017 14:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,AW,,A,,B,,C,,B,,A,,B,,A,,B,,A,,C,,B,,B,,A,,C,,B,,B,,A,,A,,B,,C,,C,,A,,B,,B,,A,3,,4,
40,21/07/2017 14:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
